id,clave,institucion,tipo_cliente,promotor,modo,monto_solicitado,letra_solicitada,plazo_solicitado,itbms_fuera,interes_compuesto,ESPERADO_cuotas,ESPERADO_letra_quincenal,ESPERADO_suma_recibir,ESPERADO_itbms,ESPERADO_intereses,ESPERADO_comision_admin,ESPERADO_comision_promotor,ESPERADO_servicio_descuento,ESPERADO_timbres,ESPERADO_notaria,ESPERADO_feci,ESPERADO_obligacion_neta,ESPERADO_total_pagar,ESPERADO_tir_ref
1,G8,Contraloria General,1,Completo,monto,1000,,24,0,0,24,37.97,1000,25.12,266.53,358.79,91.16,54.69,1.9,24.37,0,1025.12,1822.56,0.306224
2,G8,Contraloria General,1,Completo,monto,1000,,60,0,0,60,18.91,1000,25.12,676.57,358.79,113.46,68.08,2.3,24.88,0,1025.12,2269.2,0.225297
3,G8,Contraloria General,1,Completo,monto,5000,,24,0,0,24,190.16,5000,125.58,1332.65,1793.95,456.38,273.83,9.2,25.04,111.05,5125.58,9127.68,0.321627
4,G8,Contraloria General,1,Completo,monto,5000,,60,0,0,60,96.2,5000,125.58,3382.88,1793.95,577.22,346.33,11.6,24.53,281.91,5125.58,11544,0.239231
5,G8,Contraloria General,1,Completo,monto,12000,,24,0,0,24,455.59,12000,301.38,3198.35,4305.48,1093.4,656.04,21.9,25.24,266.53,12301.38,21868.32,0.322462
6,G8,Contraloria General,1,Completo,monto,12000,,60,0,0,60,230.57,12000,301.38,8118.91,4305.48,1383.42,830.05,27.7,24.88,676.58,12301.38,27668.4,0.239779
7,G8,Contraloria General,1,Completo,letra,,100,24,0,0,24,100,2657.6,66.75,708.33,953.52,240,144,4.8,25,0,2724.35,4800,0.310314
8,G8,Contraloria General,1,Completo,letra,,100,60,0,0,60,100,5197.79,130.54,3516.69,1864.92,600,360,12,25,293.06,5328.33,12000,0.239252
9,G8,Contraloria General,1,Completo,letra,,300,24,0,0,24,300,7896.83,198.33,2104.74,2833.31,720,432,14.5,24.89,175.4,8095.16,14400,0.322159
10,G8,Contraloria General,1,Completo,letra,,300,60,0,0,60,300,15616.98,392.23,10566.07,5603.22,1800,1080,36.1,24.89,880.51,16009.21,36000,0.23987
